symbol,date,order_type,side,fees,quantity,average_price
IUSG,2021-12-20T14:30:00.888000Z,market,buy,0.00,0.01112200,110.59160000
IYR,2021-12-20T14:30:05.261000Z,market,buy,0.00,0.01044200,110.13220000
IJR,2021-12-20T14:30:00.688000Z,market,buy,0.00,0.01366600,108.29800000
SOXX,2021-12-20T14:30:01.583000Z,market,buy,0.00,0.00358000,508.37990000
ONEQ,2021-12-17T14:30:03.826933Z,market,buy,0.00,5.70989400,58.68060000
SPY,2021-12-17T14:30:01.740903Z,market,buy,0.00,0.72161500,461.46490000
DIA,2021-12-17T14:30:00.911723Z,market,buy,0.00,0.93461500,356.29640000
DIA,2021-12-14T14:30:01.455000Z,market,buy,0.00,0.00708400,355.73120000
SCHA,2021-12-14T14:30:00.905000Z,market,buy,0.00,0.03527000,98.66740000
MRO,2021-12-13T14:30:02.050000Z,market,buy,0.00,0.04180700,16.02600000
MSFT,2021-12-10T14:30:05.738000Z,market,buy,0.00,0.00652900,335.42660000
TM,2021-12-07T14:30:01.004000Z,market,buy,0.00,0.00320900,186.97410000
MCHP,2021-12-06T14:30:01.102000Z,market,buy,0.00,0.02167200,86.28650000
CRM,2021-12-01T14:30:02.827810Z,market,buy,0.00,0.80283600,271.26340000
DIA,2021-11-16T14:30:00.652000Z,market,buy,0.00,0.00066300,361.99100000
DIA,2021-11-15T14:30:01.552043Z,market,buy,0.00,1.58174200,362.60020000
ONEQ,2021-11-15T14:30:02.834000Z,market,buy,0.00,15.00000000,61.81000000
SPY,2021-11-15T14:30:00.348000Z,market,buy,0.00,2.00000000,468.66000000
TM,2021-11-15T14:30:01.267000Z,market,buy,0.00,2.00000000,185.02000000
SLAB,2021-11-15T14:30:02.961000Z,market,buy,0.00,2.00000000,204.17000000
BOTZ,2021-11-15T14:30:05.282000Z,market,buy,0.00,5.00000000,38.68000000
ONEQ,2021-11-15T14:30:02.852000Z,market,buy,0.00,10.00000000,61.81000000
SOXX,2021-11-15T14:30:04.964000Z,market,buy,0.00,2.00000000,527.57000000
CRM,2021-11-10T15:25:06.500748Z,market,buy,0.00,0.81622000,307.51510000
AMD,2021-11-10T15:24:15.298000Z,market,buy,0.00,1.00000000,144.94000000
NVDA,2021-11-10T15:23:25.778000Z,market,buy,0.00,2.00000000,303.16000000
JPM,2021-11-02T13:30:01.130000Z,market,buy,0.00,0.01182700,169.95010000
SPY,2021-11-01T13:30:00.713000Z,market,buy,0.00,0.01246900,460.34160000
ORCL,2021-10-27T13:30:00.915000Z,market,buy,0.00,0.02650900,96.94820000
MU,2021-10-19T13:30:00.305000Z,market,buy,0.00,0.01394500,67.40770000
DIA,2021-10-13T13:30:02.169000Z,market,buy,0.00,0.00430200,344.02600000
VTHR,2021-10-05T13:30:02.005000Z,market,buy,0.00,0.00973000,199.38340000
VOOV,2021-10-05T13:30:00.200000Z,market,buy,0.00,0.01774600,142.56730000
VGT,2021-10-05T13:30:00.444000Z,market,buy,0.00,0.00300900,398.80360000
FDX,2021-10-04T13:30:04.629000Z,market,buy,0.00,0.00339400,220.97820000
SOXX,2021-10-01T13:30:00.726000Z,market,buy,0.00,0.00020100,447.76120000
IJR,2021-10-01T13:30:00.776000Z,market,buy,0.00,0.00918700,109.93800000
IUSG,2021-10-01T13:30:01.347000Z,market,buy,0.00,0.01310700,102.99840000
IYR,2021-10-01T13:30:00.343000Z,market,buy,0.00,0.00282000,102.83690000
PSJ,2021-10-01T13:30:00.717000Z,market,buy,0.00,0.00595200,144.48920000
PBW,2021-10-01T13:30:01.175000Z,market,buy,0.00,0.00945900,78.23240000
SCHA,2021-09-28T13:30:00.210000Z,market,buy,0.00,0.01991400,103.44480000
BAC,2021-09-27T13:30:01.634000Z,market,buy,0.00,0.01006900,42.70530000
XSW,2021-09-24T13:30:01.635000Z,market,buy,0.00,0.00584400,177.96030000
NVDA,2021-09-24T13:30:01.016000Z,market,buy,0.00,0.00222000,220.72070000
ONEQ,2021-09-23T13:30:02.031000Z,market,buy,0.00,0.00893300,58.21110000
DIA,2021-09-14T13:30:02.801000Z,market,buy,0.00,0.00350900,350.52720000
MRO,2021-09-13T13:30:01.067000Z,market,buy,0.00,0.04852700,11.54000000
MSFT,2021-09-10T13:30:01.003000Z,market,buy,0.00,0.00662800,298.73260000
WMT,2021-09-08T13:30:01.692000Z,market,buy,0.00,0.01319700,147.00310000
MCHP,2021-09-07T13:30:05.829000Z,market,buy,0.00,0.01113200,157.20450000
DIA,2021-08-17T13:30:00.555000Z,market,buy,0.00,0.00115800,354.05870000
JPM,2021-08-03T13:30:02.649048Z,market,buy,0.00,0.01184600,151.95000000
SPY,2021-08-02T13:30:02.941646Z,market,buy,0.00,0.01251100,440.41240000
ORCL,2021-07-30T13:30:00.887000Z,market,buy,0.00,0.02925100,87.51840000
DIA,2021-07-13T13:30:02.939642Z,market,buy,0.00,0.00283200,349.57630000
FDX,2021-07-13T13:30:02.216000Z,market,buy,0.00,0.00250600,299.28170000
BOTZ,2021-07-09T13:30:01.067000Z,market,buy,0.00,0.01533300,34.56600000
VTHR,2021-07-06T13:30:01.539000Z,market,buy,0.00,0.00837900,201.69470000
NVDA,2021-07-02T13:30:06.896217Z,market,buy,0.00,0.00055000,818.18180000
PBW,2021-07-01T13:30:03.413000Z,market,buy,0.00,0.00743700,94.12400000
VGT,2021-06-30T13:30:02.377000Z,market,buy,0.00,0.00197600,399.79760000
VOOV,2021-06-30T13:30:01.794000Z,market,buy,0.00,0.01329400,142.16940000
SCHA,2021-06-29T13:30:00.773000Z,market,buy,0.00,0.01498100,104.79940000
BAC,2021-06-28T13:30:03.040000Z,market,buy,0.00,0.00892400,41.46120000
MU,2021-06-25T18:49:09.112625Z,market,buy,0.00,0.41483300,82.51510000
NVDA,2021-06-25T18:48:43.050084Z,market,buy,0.00,0.20000000,759.75000000
AMD,2021-06-25T18:48:23.238000Z,market,buy,0.00,1.00000000,85.85000000
TWTR,2021-06-25T18:47:33.843000Z,market,sell,0.00,2.00000000,68.12000000
CCL,2021-06-25T18:47:15.402000Z,market,sell,0.00,2.00000000,27.99000000
VVNT,2021-06-25T18:46:47.121000Z,market,sell,0.00,1.00000000,13.75000000
GE,2021-06-25T18:46:18.292502Z,market,sell,0.00,5.02210900,13.15380000
NVDA,2021-06-25T18:45:25.000800Z,market,buy,0.00,0.08939200,759.46390000
VREX,2021-06-25T18:44:59.182000Z,market,sell,0.00,2.00000000,27.75000000
ONEQ,2021-06-24T13:30:00.983000Z,market,buy,0.00,0.00770700,55.79340000
IYR,2021-06-17T13:30:04.317215Z,market,buy,0.00,0.00506000,102.76680000
IJR,2021-06-17T13:30:09.572496Z,market,buy,0.00,0.00447600,113.94100000
IUSG,2021-06-17T13:30:01.128000Z,market,buy,0.00,0.00989000,97.06770000
SOXX,2021-06-17T13:30:10.662294Z,market,buy,0.00,0.00009200,434.78260000
DIA,2021-06-15T13:30:05.237000Z,market,buy,0.00,0.00409300,344.49060000
MSFT,2021-06-11T13:30:01.933000Z,market,buy,0.00,0.00763800,257.92090000
MRO,2021-06-11T13:30:04.277266Z,market,buy,0.00,0.03236600,13.59450000
TM,2021-06-08T13:30:02.254000Z,market,buy,0.00,0.00386700,181.01890000
MCHP,2021-06-07T13:30:02.633000Z,market,buy,0.00,0.01065400,154.87140000
WMT,2021-06-02T13:30:07.270513Z,market,buy,0.00,0.01364800,141.41270000
TMDX,2021-05-20T16:05:50.783000Z,market,buy,0.00,1.00000000,23.66000000
TMDX,2021-05-20T16:05:33.599814Z,market,buy,0.00,0.04227400,23.65520000
VGT,2021-05-18T13:32:55.184150Z,market,buy,0.00,0.35000000,361.77140000
DIS,2021-05-18T13:31:47.595000Z,market,buy,0.00,1.00000000,170.18000000
XSW,2021-05-18T13:30:46.628000Z,market,buy,0.00,3.00000000,153.63670000
IUSG,2021-05-18T13:30:01.051000Z,limit,buy,0.00,3.00000000,94.26670000
BRK.B,2021-05-18T13:27:33.374000Z,market,buy,0.00,4.00000000,290.00000000
AMZN,2021-05-18T13:24:36.067337Z,market,buy,0.00,0.25000000,3291.12000000
FDX,2021-05-18T13:24:02.990000Z,market,buy,0.00,1.00000000,309.95000000
ZM,2021-05-18T13:30:02.669000Z,limit,buy,0.00,1.00000000,309.41000000
GOOGL,2021-05-18T13:22:06.383863Z,market,buy,0.00,0.50000000,2296.00000000
CHGX,2021-05-18T13:30:00.444000Z,limit,buy,0.00,15.00000000,31.46000000
SPY,2021-05-18T13:14:28.238000Z,market,buy,0.00,2.00000000,415.61000000
MCHP,2021-05-18T13:30:02.427000Z,limit,buy,0.00,4.00000000,142.54000000
MU,2021-05-18T13:12:39.884000Z,market,buy,0.00,3.00000000,80.47000000
AMD,2021-05-18T13:12:20.290000Z,market,buy,0.00,3.00000000,74.94000000
CRM,2021-05-18T13:11:48.095000Z,market,buy,0.00,2.00000000,215.84000000
ORCL,2021-05-18T13:11:27.002000Z,market,buy,0.00,8.00000000,79.39000000
PSJ,2021-05-18T13:30:00.590000Z,market,buy,0.00,5.00000000,151.33000000
XSW,2021-05-18T13:30:00.267000Z,market,buy,0.00,4.00000000,153.98000000
SLAB,2021-05-18T13:30:03.651000Z,market,buy,0.00,2.00000000,125.29000000
JPM,2021-05-18T13:30:01.143000Z,market,buy,0.00,2.00000000,164.68000000
IYR,2021-05-18T13:30:01.046000Z,market,buy,0.00,1.00000000,97.37000000
ONEQ,2021-05-18T13:30:02.365000Z,market,buy,0.00,6.00000000,52.13000000
DIA,2021-05-18T13:30:01.530000Z,market,buy,0.00,2.00000000,343.85000000
SPY,2021-05-03T13:30:00.531000Z,market,buy,0.00,0.00610400,419.39710000
GE,2021-04-27T13:30:01Z,market,buy,0.00,0.00370400,13.49890000
WMT,2021-04-06T13:30:01.124000Z,market,buy,0.00,0.01387400,139.10910000
VGT,2021-04-01T13:30:01.452000Z,market,buy,0.00,0.00173400,363.32180000
SOXX,2021-04-01T13:30:00.372000Z,market,buy,0.00,0.00013900,431.65470000
IUSG,2021-04-01T13:30:04.580000Z,market,buy,0.00,0.00665600,91.64660000
IJR,2021-04-01T13:30:00.490000Z,market,buy,0.00,0.00485600,109.14330000
PBW,2021-04-01T13:30:00.550000Z,market,buy,0.00,0.00383200,101.77450000
NVDA,2021-04-01T13:30:02.547000Z,market,buy,0.00,0.00082900,542.82270000
VOOV,2021-04-01T13:30:00.289000Z,market,buy,0.00,0.01234900,136.85320000
VTHR,2021-04-01T13:30:01.119000Z,market,buy,0.00,0.00924200,186.10690000
SCHA,2021-03-30T13:30:00.156000Z,market,buy,0.00,0.01561900,97.31740000
BAC,2021-03-29T13:30:01.078000Z,market,buy,0.00,0.00972400,38.05020000
MSFT,2021-03-12T14:30:02.859000Z,market,buy,0.00,0.00841900,233.99450000
MRO,2021-03-11T14:30:01.401000Z,market,buy,0.00,0.02680700,12.31020000
TM,2021-02-22T15:07:51.687682Z,market,buy,0.00,0.34093500,153.25500000
LOTZ,2021-02-22T15:06:39.046000Z,market,buy,0.00,15.00000000,9.85000000
PBW,2021-02-04T20:00:03.542192Z,market,buy,0.00,2.72292700,129.51140000
GME,2021-02-04T19:57:32.929000Z,market,sell,0.00,1.00000000,58.75000000
GME,2021-02-01T15:32:22.162000Z,market,buy,0.00,1.00000000,213.07000000
DAL,2021-01-28T18:49:41.224000Z,market,buy,0.00,1.00000000,39.94000000
GE,2021-01-26T14:32:53.301000Z,market,buy,0.00,0.00416700,11.99900000
SPY,2021-01-12T18:46:15.213000Z,market,buy,0.00,2.00000000,378.81500000
SOXX,2021-01-08T16:42:49.433170Z,market,buy,0.00,0.08000000,400.75000000
WMT,2021-01-08T16:41:59.594662Z,market,buy,0.00,1.50000000,146.42000000
MU,2021-01-08T16:41:33.539000Z,market,buy,0.00,3.00000000,79.58000000
PLUG,2021-01-08T16:41:07.484000Z,market,buy,0.00,2.00000000,52.32500000
BA,2021-01-08T16:39:56.746000Z,market,buy,0.00,1.00000000,211.09000000
DAL,2021-01-08T16:38:52.121000Z,market,buy,0.00,5.00000000,40.28600000
VTHR,2021-01-08T16:36:21.507620Z,market,buy,0.00,2.40000000,177.50830000
IUSG,2021-01-04T14:30:14.037443Z,market,buy,0.00,3.80000000,89.14740000
ARKK,2021-01-04T14:30:00.211000Z,market,buy,0.00,5.00000000,126.22000000
NVDA,2020-12-30T14:30:02.070000Z,market,buy,0.00,0.00055800,519.71330000
VOOV,2020-12-29T14:30:02.242000Z,market,buy,0.00,0.02283400,123.06210000
OIH,2020-12-29T14:30:00.262000Z,market,buy,0.00,0.01222200,154.63920000
BAC,2020-12-28T14:30:01.956000Z,market,buy,0.00,0.01223500,30.24110000
VGT,2020-12-23T14:42:00.115288Z,market,buy,0.00,0.00195400,353.12180000
VTHR,2020-12-23T14:41:56.452000Z,market,buy,0.00,0.00283800,172.65680000
SCHA,2020-12-16T14:30:00.138000Z,market,buy,0.00,0.02408400,88.44050000
VTHR,2020-12-14T20:45:43.356936Z,market,buy,0.00,0.30000000,169.70000000
VTHR,2020-12-14T14:30:12.971858Z,market,buy,0.00,0.35000000,171.22860000
IJR,2020-12-14T14:30:00.446000Z,market,buy,0.00,2.00000000,90.04000000
NTDOY,2020-12-14T14:30:00.811000Z,market,buy,0.00,2.00000000,75.75000000
WMT,2020-12-14T14:30:04.283000Z,market,buy,0.00,2.00000000,147.47000000
UAL,2020-12-14T14:30:00.267000Z,market,buy,0.00,5.00000000,49.58000000
NVDA,2020-12-14T14:30:02.566000Z,market,buy,0.00,1.00000000,523.13000000
MRO,2020-12-11T14:30:01.025000Z,market,buy,0.00,0.04545500,7.25990000
MSFT,2020-12-11T14:30:02.196000Z,market,buy,0.00,0.00932400,210.21020000
MU,2020-11-24T16:43:34Z,market,buy,0.00,3.00000000,63.44000000
DAL,2020-11-20T14:30:01.090000Z,market,buy,0.00,1.00000000,37.99000000
NVDA,2020-11-19T14:30:08.556272Z,market,buy,0.00,1.80000000,529.76110000
VGT,2020-11-17T14:34:50.826000Z,market,buy,0.00,1.00000000,328.12000000
MSFT,2020-11-17T14:33:07.719000Z,market,buy,0.00,3.00000000,217.29330000
BOTZ,2020-11-17T14:32:43.395000Z,market,buy,0.00,8.00000000,30.76750000
SCHA,2020-11-17T14:32:23.226000Z,market,buy,0.00,5.00000000,80.34000000
VOOV,2020-11-17T14:32:06.460000Z,market,buy,0.00,2.00000000,119.76000000
AMD,2020-11-17T14:30:02.156000Z,market,buy,0.00,2.00000000,84.00000000
AMD,2020-11-13T19:41:04.049000Z,market,buy,0.00,4.00000000,80.97000000
GE,2020-10-27T13:30:03.459000Z,market,buy,0.00,0.00677500,7.38010000
SCHA,2020-09-29T14:19:59.990302Z,market,buy,0.00,0.00819100,68.36770000
BAC,2020-09-28T13:51:10.676883Z,market,buy,0.00,0.01507500,23.88060000
VOOV,2020-09-17T13:32:34.463358Z,market,buy,0.00,0.00581400,110.07910000
MSFT,2020-09-16T01:50:14.073536Z,market,buy,0.00,0.00125400,207.33650000
VAR,2020-08-03T14:36:48.697000Z,market,sell,0.00,1.00000000,173.85000000
GE,2020-07-28T13:53:34.703225Z,market,buy,0.00,0.00746300,6.69970000
BOTZ,2020-07-09T14:05:45.269408Z,market,buy,0.00,0.00242500,24.74230000
VOOV,2020-07-01T20:28:15.145719Z,market,buy,0.00,0.00790600,104.98360000
SCHA,2020-06-30T13:48:39.781176Z,market,buy,0.00,0.00372200,64.48150000
BAC,2020-06-29T14:14:14.042609Z,market,buy,0.00,0.01537100,23.42070000
MSFT,2020-06-12T14:00:05.249070Z,market,buy,0.00,0.00136500,190.47620000
MRO,2020-06-10T15:10:03.484000Z,market,buy,0.00,1.00000000,7.30000000
VREX,2020-06-10T13:30:00.528000Z,market,buy,0.00,2.00000000,17.87000000
F,2020-06-09T21:38:02.641000Z,market,sell,0.00,5.00000000,7.22000000
MSFT,2020-05-12T14:20:13.995147Z,market,buy,0.00,0.50000000,185.90000000
TWTR,2020-05-12T14:19:41.455000Z,market,buy,0.00,2.00000000,29.27000000
AAL,2020-05-12T14:18:02.218000Z,market,buy,0.00,5.00000000,9.96800000
USO,2020-04-21T18:02:13.478000Z,market,buy,0.00,10.00000000,2.41000000
MRO,2020-04-21T18:00:22.486000Z,market,buy,0.00,10.00000000,4.08800000
OIH,2020-04-21T17:59:32.046000Z,market,buy,0.00,1.00000000,85.25000000
DAL,2020-04-20T20:01:09.739000Z,market,buy,0.00,3.00000000,23.70000000
BOTZ,2020-04-20T19:59:59.844000Z,market,buy,0.00,1.00000000,19.02000000
SCHA,2020-04-20T19:59:37.716000Z,market,buy,0.00,2.00000000,54.81000000
VOOV,2020-04-20T19:58:25.803000Z,market,buy,0.00,1.00000000,100.78000000
CCL,2020-04-20T19:56:23.439000Z,market,buy,0.00,2.00000000,12.23000000
BA,2020-04-20T19:56:04.283000Z,market,buy,0.00,1.00000000,143.91000000
VVNT,2020-04-20T19:55:46.174000Z,market,buy,0.00,1.00000000,9.53000000
VAR,2020-04-20T19:55:25.203000Z,market,buy,0.00,1.00000000,112.28000000
GE,2020-04-20T19:55:08.842000Z,market,buy,0.00,5.00000000,6.51800000
BAC,2020-04-20T19:54:45.646000Z,market,buy,0.00,2.00000000,22.42000000
F,2020-04-20T19:54:22.578000Z,market,buy,0.00,5.00000000,4.97800000
DIS,2020-04-20T19:54:01.717000Z,market,buy,0.00,1.00000000,102.42000000
GE,2019-05-01T15:02:08.388000Z,limit,sell,0.02,1.00000000,10.31000000
GE,2019-03-19T14:43:35.625000Z,market,buy,0.00,1.00000000,10.30000000
LEVB,2019-03-18T18:28:05.712000Z,market,sell,0.02,1.00000000,4.63000000
TRXC,2019-03-18T15:33:17.101000Z,market,sell,0.02,1.00000000,2.30000000
ODP,2019-03-18T15:32:43.141000Z,market,sell,0.02,1.00000000,3.40000000
LEVB,2019-03-07T14:30:00.094000Z,market,buy,0.00,1.00000000,4.08000000
